,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
149,2020,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2015,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2016,25,5.5,42.859975139838404,1161.0857369999999,9673.0,5.0,17.05443056,145.25,0.0,2.0
152,2017,25,5.888888888888889,122.9480422622747,7458.310839000001,32282.0,18.0,15.967774817777777,175.42222222222225,73.80000000000001,9.0
153,2018,25,5.0,60.98290863890615,2603.666688,12606.0,7.0,17.719547386666665,214.0,77.0,3.0
154,2019,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2020,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2015,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,2016,26,6.0,111.63399627097576,2419.2840419999998,31906.0,10.0,14.782445166666667,133.25,0.0,6.0
158,2017,26,6.0,171.70702299564948,6919.2704699999995,36917.0,6.0,18.01967017,181.85,67.39999999999999,6.0
159,2018,26,6.0,142.54978247358608,4569.868106999999,30438.0,34.0,18.33843412,197.08571428571423,80.34285714285716,7.0
160,2019,26,6.0,0.002610316967060286,0.0,2.0,0.0,4.697574,90.0,0.0,1.0
161,2020,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,2015,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2016,27,6.0,34.82100683654444,775.2601289999999,9044.0,1.0,15.816060576000002,135.575,0.0,5.0
164,2017,27,6.0,164.11839651957737,6001.294236,32556.0,20.0,18.265062488,202.95999999999998,69.35,5.0
165,2018,27,6.0,62.54319453076445,2995.39779,12707.0,13.0,16.80165634,171.5,70.7,2.0
166,2019,27,6.0,72.8822249844624,2522.9582699999996,17500.0,3.0,15.463071444000002,248.32,73.04,5.0
167,2020,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2015,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2016,28,6.0,64.53896830329397,1039.3669439999999,14857.0,24.0,15.091888533333332,122.5,0.0,6.0
170,2017,28,6.0,159.7483530142946,6093.485559,31869.0,21.0,18.427352485,195.02499999999998,68.9,4.0
171,2018,28,6.0,116.1672467371038,4423.871171999999,21634.0,9.0,19.251105640000002,217.8,64.85,4.0
172,2019,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2020,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,2015,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,2016,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,2017,29,6.428571428571429,224.32305779987567,10457.317542,48024.0,32.0,16.983487605714288,180.64285714285714,70.4,7.0
177,2018,29,6.0,73.9875077688005,2490.1499700000004,14985.0,9.0,18.230613612,193.92,74.12,5.0
178,2019,29,6.0,73.23617153511498,3151.565298,16493.0,4.0,18.52745555,388.425,64.4,4.0
179,2020,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2015,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,2016,30,7.0,61.34282162834059,935.692716,320527.0,18.0,17.921617633333334,144.2,0.0,3.0
182,2017,30,7.0,158.56538222498446,7301.4871650000005,38398.0,27.0,17.671378612,185.28,66.65,5.0
183,2018,30,6.666666666666667,161.82628962088253,5934.037221,29692.0,44.0,19.928152813333337,212.03333333333333,68.9,6.0
184,2019,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2020,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,2015,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,2016,31,7.0,21.04425108763207,403.214007,5348.0,6.0,14.486423440000003,113.1,0.0,2.0
188,2017,31,7.0,141.3813548788067,7133.508669,34162.0,32.0,16.655360464,164.26,72.32000000000001,5.0
189,2018,31,7.0,63.13486637663145,1512.46263,10915.0,27.0,21.206191200000003,205.89999999999998,73.4,2.0
190,2019,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2020,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2015,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,2016,32,7.0,18.09757613424487,558.725349,3942.0,9.0,16.888897,135.0,0.0,1.0
194,2017,32,7.0,91.21541330018646,4182.074001,21025.0,10.0,16.685335459999997,201.82,75.2,5.0
195,2018,32,7.0,73.86382846488502,2270.33436,14609.0,11.0,19.507794505,174.85000000000002,70.7,4.0
196,2019,32,7.0,17.691236793039153,918.6324,7427.0,0.0,10.495722480000001,98.45,68.9,2.0
