,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
120,2015,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2016,24,5.0,30771.5,81.5,4360.0,16.0,7.242,125.3,0.0,1.0
122,2017,24,5.0,308098.2,3171.8999999999996,42064.0,40.0,8.2546,198.61999999999998,20.0,5.0
123,2018,24,5.0,161832.0,2727.9,27575.0,0.0,6.727,166.6,24.0,1.0
124,2019,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2015,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2016,25,5.5,68961.7,353.90000000000003,9673.0,5.0,7.6240000000000006,145.25,0.0,2.0
127,2017,25,5.888888888888889,197823.40000000002,2273.3,32282.0,18.0,7.138222222222224,175.42222222222225,23.22222222222222,9.0
128,2018,25,5.0,98121.5,793.5999999999999,12606.0,7.0,7.921333333333333,214.0,25.0,3.0
129,2019,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2015,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2016,26,6.0,179619.1,737.4000000000001,31906.0,9.0,6.608333333333333,133.25,0.0,6.0
132,2017,26,6.0,276276.6,2109.0,36917.0,6.0,8.0555,181.85,19.666666666666668,6.0
133,2018,26,6.0,229362.59999999998,1392.9,30438.0,32.0,8.198,197.08571428571423,26.857142857142858,7.0
134,2019,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2015,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2016,27,6.0,56027.0,236.29999999999998,9044.0,1.0,7.070399999999999,135.575,0.0,5.0
137,2017,27,6.0,264066.5,1829.2,32556.0,19.0,8.165200000000002,202.95999999999998,20.75,5.0
138,2018,27,6.0,100632.0,913.0,12707.0,13.0,7.511,171.5,21.5,2.0
139,2019,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2015,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,2016,28,6.0,103843.19999999998,316.79999999999995,14857.0,24.0,6.746666666666666,122.5,0.0,6.0
142,2017,28,6.0,257035.09999999998,1857.3,31869.0,21.0,8.23775,195.02499999999998,20.5,4.0
143,2018,28,6.0,186913.1,1348.3999999999999,21634.0,9.0,8.606,217.8,18.25,4.0
144,2019,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,2015,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2016,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,2017,29,6.428571428571429,360935.8,3187.3999999999996,48024.0,32.0,7.5922857142857145,180.64285714285714,21.333333333333332,7.0
148,2018,29,6.0,119045.9,759.0,14985.0,9.0,8.149799999999999,193.92,23.4,5.0
149,2019,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2015,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2016,30,7.0,98700.6,285.20000000000005,320527.0,18.0,8.011666666666667,144.2,0.0,3.0
152,2017,30,7.0,255131.7,2225.5,38398.0,27.0,7.899800000000001,185.28,19.25,5.0
153,2018,30,6.666666666666667,260378.5,1808.6999999999998,29692.0,43.0,8.908666666666667,212.03333333333333,20.5,6.0
154,2019,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2015,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2016,31,7.0,33860.2,122.89999999999999,5348.0,6.0,6.476,113.1,0.0,2.0
157,2017,31,7.0,227482.6,2174.3,34162.0,32.0,7.445599999999999,164.26,22.4,5.0
158,2018,31,7.0,101584.0,461.0,10915.0,26.0,9.48,205.89999999999998,23.0,2.0
159,2019,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,2015,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,2016,32,7.0,29119.0,170.3,3942.0,9.0,7.55,135.0,0.0,1.0
162,2017,32,7.0,146765.6,1274.7,21025.0,10.0,7.4590000000000005,201.82,24.0,5.0
163,2018,32,7.0,118846.9,692.0,14609.0,11.0,8.720749999999999,174.85000000000002,21.5,4.0
164,2019,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,2015,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,2016,33,7.0,24946.5,259.6,5050.0,0.0,6.654,141.9,0.0,1.0
167,2017,33,7.0,331547.2,4111.5,68512.0,22.0,8.0605,193.6833333333333,17.833333333333332,6.0
168,2018,33,7.0,73594.6,798.2,8861.0,9.0,8.6475,210.39999999999998,21.5,2.0
169,2019,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2015,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,2016,34,8.0,92801.5,895.1,13568.0,10.0,7.842666666666666,149.55,0.0,3.0
172,2017,34,8.0,188506.7,2336.0,29910.0,8.0,7.199599999999999,178.66000000000003,20.0,5.0
173,2018,34,7.0,191787.1,2274.4,27969.0,9.0,7.542666666666666,178.6,25.666666666666668,3.0
174,2019,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,2015,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,2016,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,2017,35,8.0,221943.19999999998,2799.6,36407.0,8.0,6.8335,148.98333333333335,18.666666666666668,6.0
178,2018,35,8.0,159657.30000000002,2656.8,1009925.0,9.0,3.760222222222222,89.60000000000001,23.5,9.0
179,2019,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2015,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,2016,36,8.0,66466.0,0.0,7800.0,0.0,8.36,0.0,0.0,3.0
182,2017,36,8.0,149215.1,2208.7,52782.0,0.0,5.0435,147.3,23.0,2.0
183,2018,36,8.0,64061.5,1739.0,22078.0,1.0,3.6806000000000005,132.11999999999998,15.0,5.0
184,2019,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2015,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,2016,37,8.0,18217.8,0.0,2700.0,0.0,6.9825,0.0,0.0,2.0
187,2017,37,8.0,134374.4,1562.4,22560.0,13.0,6.264,159.78000000000003,24.666666666666668,5.0
