,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
102,2017,20,4.2,178.62529521441888,10297.541121,38802.0,14.0,7.871600000000001,197.6,15.0,5.0
103,2018,20,4.0,181.24474829086387,6649.586244,36217.0,53.0,8.4982,216.01999999999998,24.0,5.0
104,2019,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2015,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2016,21,4.571428571428571,54.738160348042264,1196.518701,13371.0,3.0,6.835285714285713,123.77142857142857,0.0,7.0
107,2017,21,5.0,156.66438781852082,5864.811708,31757.0,29.0,8.389800000000001,197.95999999999998,15.8,5.0
108,2018,21,4.5,88.30683654443754,3165.0167009999996,17544.0,19.0,8.678,225.3,16.0,2.0
109,2019,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2015,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2016,22,5.0,40.82871348663766,938.9735459999999,9916.0,6.0,7.6575,136.5,0.0,2.0
112,2017,22,5.0,160.38850217526414,8115.789170999999,35626.0,18.0,7.6798,158.82,21.2,5.0
113,2018,22,5.0,127.4252330640149,9249.315935999999,29910.0,10.0,7.3596,165.16,18.333333333333332,5.0
114,2019,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2015,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2016,23,5.0,29.080484773151024,622.701534,6223.0,8.0,7.589249999999999,129.0,0.0,4.0
117,2017,23,5.0,128.57737725295215,3956.0248139999994,27956.0,22.0,7.983142857142857,184.41428571428574,20.428571428571427,7.0
118,2018,23,5.0,62.67756370416408,3367.771995,15341.0,12.0,7.1452,197.75,20.0,5.0
119,2019,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2015,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2016,24,5.0,19.12461155997514,267.387645,4360.0,16.0,7.242,125.3,0.0,1.0
122,2017,24,5.0,191.48427594779366,10406.464677,42064.0,40.0,8.2546,198.61999999999998,20.0,5.0
123,2018,24,5.0,100.57924176507147,8949.776157,27575.0,0.0,6.727,166.6,24.0,1.0
124,2019,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2015,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2016,25,5.5,42.859975139838404,1161.0857369999999,9673.0,5.0,7.6240000000000006,145.25,0.0,2.0
127,2017,25,5.888888888888889,122.9480422622747,7458.310839000001,32282.0,18.0,7.138222222222224,175.42222222222225,23.22222222222222,9.0
128,2018,25,5.0,60.98290863890615,2603.666688,12606.0,7.0,7.921333333333333,214.0,25.0,3.0
129,2019,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
